,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_1,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_2,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_3,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_4,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_5,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT
ZC103-MPRA3-AP1120-26-Cortex_REF_Barcode_1,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,Cortex_REF
ZC103-MPRA3-AP1120-26-Cortex_REF_Barcode_2,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,Cortex_REF
ZC103-MPRA3-AP1120-26-Cortex_REF_Barcode_3,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,Cortex_REF
ZC103-MPRA3-AP1120-26-Cortex_REF_Barcode_4,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,Cortex_REF
ZC103-MPRA3-AP1120-26-Cortex_REF_Barcode_5,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,Cortex_REF
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_1,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,1,1_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_2,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,2,2_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_3,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,3,3_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_4,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,4,4_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_5,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,5,5_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT
ZC107-MPRA3-AP1121-26-Cortex_REF_Barcode_1,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,1,1_REF,REF,ZC107R-MPRA3-AP1121-26-Cortex_REF,AP1121_REF,Cortex_REF
ZC107-MPRA3-AP1121-26-Cortex_REF_Barcode_2,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,2,2_REF,REF,ZC107R-MPRA3-AP1121-26-Cortex_REF,AP1121_REF,Cortex_REF
ZC107-MPRA3-AP1121-26-Cortex_REF_Barcode_3,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,3,3_REF,REF,ZC107R-MPRA3-AP1121-26-Cortex_REF,AP1121_REF,Cortex_REF
ZC107-MPRA3-AP1121-26-Cortex_REF_Barcode_4,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,4,4_REF,REF,ZC107R-MPRA3-AP1121-26-Cortex_REF,AP1121_REF,Cortex_REF
ZC107-MPRA3-AP1121-26-Cortex_REF_Barcode_5,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,5,5_REF,REF,ZC107R-MPRA3-AP1121-26-Cortex_REF,AP1121_REF,Cortex_REF
ZC95-MPRA3-AP1133-26-Cortex_ALT_Barcode_1,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,1,1_ALT,ALT,ZC95R-MPRA3-AP1133-26-Cortex_ALT,AP1133_ALT,Cortex_ALT
ZC95-MPRA3-AP1133-26-Cortex_ALT_Barcode_2,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,2,2_ALT,ALT,ZC95R-MPRA3-AP1133-26-Cortex_ALT,AP1133_ALT,Cortex_ALT
ZC95-MPRA3-AP1133-26-Cortex_ALT_Barcode_3,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,3,3_ALT,ALT,ZC95R-MPRA3-AP1133-26-Cortex_ALT,AP1133_ALT,Cortex_ALT
ZC95-MPRA3-AP1133-26-Cortex_ALT_Barcode_4,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,4,4_ALT,ALT,ZC95R-MPRA3-AP1133-26-Cortex_ALT,AP1133_ALT,Cortex_ALT
ZC95-MPRA3-AP1133-26-Cortex_ALT_Barcode_5,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,5,5_ALT,ALT,ZC95R-MPRA3-AP1133-26-Cortex_ALT,AP1133_ALT,Cortex_ALT
ZC95-MPRA3-AP1133-26-Cortex_REF_Barcode_1,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,1,1_REF,REF,ZC95R-MPRA3-AP1133-26-Cortex_REF,AP1133_REF,Cortex_REF
ZC95-MPRA3-AP1133-26-Cortex_REF_Barcode_2,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,2,2_REF,REF,ZC95R-MPRA3-AP1133-26-Cortex_REF,AP1133_REF,Cortex_REF
ZC95-MPRA3-AP1133-26-Cortex_REF_Barcode_3,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,3,3_REF,REF,ZC95R-MPRA3-AP1133-26-Cortex_REF,AP1133_REF,Cortex_REF
ZC95-MPRA3-AP1133-26-Cortex_REF_Barcode_4,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,4,4_REF,REF,ZC95R-MPRA3-AP1133-26-Cortex_REF,AP1133_REF,Cortex_REF
ZC95-MPRA3-AP1133-26-Cortex_REF_Barcode_5,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,5,5_REF,REF,ZC95R-MPRA3-AP1133-26-Cortex_REF,AP1133_REF,Cortex_REF
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_1,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,1,1_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_2,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,2,2_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_3,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,3,3_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_4,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,4,4_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_5,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,5,5_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT
ZC99-MPRA3-AP1134-26-Cortex_REF_Barcode_1,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,1,1_REF,REF,ZC99R-MPRA3-AP1134-26-Cortex_REF,AP1134_REF,Cortex_REF
ZC99-MPRA3-AP1134-26-Cortex_REF_Barcode_2,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,2,2_REF,REF,ZC99R-MPRA3-AP1134-26-Cortex_REF,AP1134_REF,Cortex_REF
ZC99-MPRA3-AP1134-26-Cortex_REF_Barcode_3,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,3,3_REF,REF,ZC99R-MPRA3-AP1134-26-Cortex_REF,AP1134_REF,Cortex_REF
ZC99-MPRA3-AP1134-26-Cortex_REF_Barcode_4,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,4,4_REF,REF,ZC99R-MPRA3-AP1134-26-Cortex_REF,AP1134_REF,Cortex_REF
ZC99-MPRA3-AP1134-26-Cortex_REF_Barcode_5,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,5,5_REF,REF,ZC99R-MPRA3-AP1134-26-Cortex_REF,AP1134_REF,Cortex_REF
