,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Allele,Striatum_interaction,Hippocampus_interaction,Cortex_interaction
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,1,1_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT,1,0,1,0
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,2,2_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT,1,0,1,0
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,3,3_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT,1,0,1,0
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,4,4_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT,1,0,1,0
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,5,5_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT,1,0,1,0
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_1,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_2,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_3,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_4,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_5,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC105-MPRA3-AP1120-26-Hippocampus_ALT_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,1,1_ALT,ALT,ZC105R-MPRA3-AP1120-26-Hippocampus_ALT,AP1120_ALT,Hippocampus_ALT,1,0,1,0
ZC105-MPRA3-AP1120-26-Hippocampus_ALT_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,2,2_ALT,ALT,ZC105R-MPRA3-AP1120-26-Hippocampus_ALT,AP1120_ALT,Hippocampus_ALT,1,0,1,0
ZC105-MPRA3-AP1120-26-Hippocampus_ALT_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,3,3_ALT,ALT,ZC105R-MPRA3-AP1120-26-Hippocampus_ALT,AP1120_ALT,Hippocampus_ALT,1,0,1,0
ZC105-MPRA3-AP1120-26-Hippocampus_ALT_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,4,4_ALT,ALT,ZC105R-MPRA3-AP1120-26-Hippocampus_ALT,AP1120_ALT,Hippocampus_ALT,1,0,1,0
ZC105-MPRA3-AP1120-26-Hippocampus_ALT_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,5,5_ALT,ALT,ZC105R-MPRA3-AP1120-26-Hippocampus_ALT,AP1120_ALT,Hippocampus_ALT,1,0,1,0
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_1,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,1,1_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT,1,0,0,1
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_2,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,2,2_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT,1,0,0,1
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_3,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,3,3_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT,1,0,0,1
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_4,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,4,4_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT,1,0,0,1
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_5,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,5,5_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT,1,0,0,1
ZC109-MPRA3-AP1121-26-Hippocampus_ALT_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,1,1_ALT,ALT,ZC109R-MPRA3-AP1121-26-Hippocampus_ALT,AP1121_ALT,Hippocampus_ALT,1,0,1,0
ZC109-MPRA3-AP1121-26-Hippocampus_ALT_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,2,2_ALT,ALT,ZC109R-MPRA3-AP1121-26-Hippocampus_ALT,AP1121_ALT,Hippocampus_ALT,1,0,1,0
ZC109-MPRA3-AP1121-26-Hippocampus_ALT_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,3,3_ALT,ALT,ZC109R-MPRA3-AP1121-26-Hippocampus_ALT,AP1121_ALT,Hippocampus_ALT,1,0,1,0
ZC109-MPRA3-AP1121-26-Hippocampus_ALT_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,4,4_ALT,ALT,ZC109R-MPRA3-AP1121-26-Hippocampus_ALT,AP1121_ALT,Hippocampus_ALT,1,0,1,0
ZC109-MPRA3-AP1121-26-Hippocampus_ALT_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,5,5_ALT,ALT,ZC109R-MPRA3-AP1121-26-Hippocampus_ALT,AP1121_ALT,Hippocampus_ALT,1,0,1,0
ZC95-MPRA3-AP1133-26-Cortex_ALT_Barcode_1,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,1,1_ALT,ALT,ZC95R-MPRA3-AP1133-26-Cortex_ALT,AP1133_ALT,Cortex_ALT,1,0,0,1
ZC95-MPRA3-AP1133-26-Cortex_ALT_Barcode_2,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,2,2_ALT,ALT,ZC95R-MPRA3-AP1133-26-Cortex_ALT,AP1133_ALT,Cortex_ALT,1,0,0,1
ZC95-MPRA3-AP1133-26-Cortex_ALT_Barcode_3,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,3,3_ALT,ALT,ZC95R-MPRA3-AP1133-26-Cortex_ALT,AP1133_ALT,Cortex_ALT,1,0,0,1
ZC95-MPRA3-AP1133-26-Cortex_ALT_Barcode_4,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,4,4_ALT,ALT,ZC95R-MPRA3-AP1133-26-Cortex_ALT,AP1133_ALT,Cortex_ALT,1,0,0,1
ZC95-MPRA3-AP1133-26-Cortex_ALT_Barcode_5,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,5,5_ALT,ALT,ZC95R-MPRA3-AP1133-26-Cortex_ALT,AP1133_ALT,Cortex_ALT,1,0,0,1
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,1,1_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT,1,0,1,0
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,2,2_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT,1,0,1,0
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,3,3_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT,1,0,1,0
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,4,4_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT,1,0,1,0
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,5,5_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT,1,0,1,0
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_1,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,1,1_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT,1,0,0,1
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_2,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,2,2_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT,1,0,0,1
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_3,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,3,3_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT,1,0,0,1
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_4,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,4,4_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT,1,0,0,1
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_5,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,5,5_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT,1,0,0,1
