,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,Column_Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
Naive_HMC3_ZC3_R_ALT_Barcode_31,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,31,31_ALT,ALT,Naive_HMC3_ZC3_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC3_R_ALT_Barcode_32,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,32,32_ALT,ALT,Naive_HMC3_ZC3_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC3_R_REF_Barcode_1,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,1,1_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_2,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,2,2_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_3,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,3,3_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_4,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,4,4_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_5,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,5,5_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_6,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,6,6_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_7,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,7,7_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_8,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,8,8_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_9,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,9,9_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_10,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,10,10_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_11,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,11,11_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_12,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,12,12_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_13,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,13,13_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_14,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,14,14_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_15,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,15,15_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_16,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,16,16_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_17,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,17,17_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_18,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,18,18_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_19,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,19,19_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_20,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,20,20_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_21,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,21,21_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_22,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,22,22_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_23,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,23,23_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_24,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,24,24_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_25,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,25,25_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_26,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,26,26_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_27,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,27,27_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_28,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,28,28_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_29,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,29,29_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_30,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,30,30_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_31,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,31,31_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC3_R_REF_Barcode_32,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0,0,0,1,0,32,32_REF,REF,Naive_HMC3_ZC3_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_ALT_Barcode_1,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,1,1_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_2,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,2,2_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_3,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,3,3_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_4,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,4,4_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_5,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,5,5_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_6,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,6,6_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_7,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,7,7_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_8,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,8,8_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_9,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,9,9_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_10,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,10,10_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_11,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,11,11_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_12,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,12,12_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_13,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,13,13_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_14,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,14,14_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_15,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,15,15_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_16,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,16,16_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_17,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,17,17_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_18,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,18,18_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_19,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,19,19_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_20,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,20,20_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_21,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,21,21_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_22,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,22,22_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_23,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,23,23_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_24,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,24,24_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_25,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,25,25_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_26,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,26,26_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_27,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,27,27_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_28,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,28,28_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_29,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,29,29_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_30,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,30,30_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_31,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,31,31_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_ALT_Barcode_32,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,32,32_ALT,ALT,Naive_HMC3_ZC67_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC67_R_REF_Barcode_1,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,1,1_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_2,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,2,2_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_3,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,3,3_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_4,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,4,4_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_5,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,5,5_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_6,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,6,6_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_7,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,7,7_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_8,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,8,8_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_9,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,9,9_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_10,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,10,10_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_11,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,11,11_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_12,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,12,12_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_13,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,13,13_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_14,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,14,14_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
Naive_HMC3_ZC67_R_REF_Barcode_15,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0,0,0,1,1,15,15_REF,REF,Naive_HMC3_ZC67_R_REF,HMC3_REF,HMC3_Naive_REF
