,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,Purification,Column_Purification,Striatum,Hippocampus,Cortex,RT_reaction
IFNB_THP1mac_ZC58_R,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,,,,,,
IFNB_THP1mac_ZC62_R,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC62_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,,,,,,
IFNB_THP1mac_ZC84_R,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC84_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,,,,,,
IFNB_THP1mac_ZC87_R,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC87_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,,,,,,
IFNB_THP1mac_ZC92_R,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC92_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,,,,,,
IFNG_THP1mac_ZC59_R,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,,,,,,
IFNG_THP1mac_ZC63_R,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC63_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,,,,,,
IFNG_THP1mac_ZC85_R,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC85_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,,,,,,
IFNG_THP1mac_ZC88_R,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC88_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,,,,,,
IFNG_THP1mac_ZC93_R,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC93_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,,,,,,
LPSIFNG_THP1mac_ZC114_R,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0.0,0.0,1.0,0.0,,,,,,
LPSIFNG_THP1mac_ZC115_R,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC115_R,Immune,THP1_Macrophage,0.0,0.0,1.0,0.0,,,,,,
LPSIFNG_THP1mac_ZC125_R,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC125_R,Immune,THP1_Macrophage,0.0,0.0,1.0,0.0,,,,,,
LPSIFNG_THP1mac_ZC89_R,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC89_R,Immune,THP1_Macrophage,0.0,0.0,1.0,0.0,,,,,,
LPSIFNG_THP1mac_ZC94_R,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC94_R,Immune,THP1_Macrophage,0.0,0.0,1.0,0.0,,,,,,
Naive_THP1mac_ZC55_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC55_R,Immune,THP1_Macrophage,0.0,0.0,0.0,1.0,,,,,,
Naive_THP1mac_ZC56_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC56_R,Immune,THP1_Macrophage,0.0,0.0,0.0,1.0,,,,,,
Naive_THP1mac_ZC57_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC57_R,Immune,THP1_Macrophage,0.0,0.0,0.0,1.0,,,,,,
Naive_THP1mac_ZC61_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC61_R,Immune,THP1_Macrophage,0.0,0.0,0.0,1.0,,,,,,
Naive_THP1mac_ZC82_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC82_R,Immune,THP1_Macrophage,0.0,0.0,0.0,1.0,,,,,,
Naive_THP1mac_ZC83_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC83_R,Immune,THP1_Macrophage,0.0,0.0,0.0,1.0,,,,,,
Naive_THP1mac_ZC86_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC86_R,Immune,THP1_Macrophage,0.0,0.0,0.0,1.0,,,,,,
Naive_THP1mac_ZC91_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC91_R,Immune,THP1_Macrophage,0.0,0.0,0.0,1.0,,,,,,
Naive_THP1mono_ZC111_R,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC111_R,Immune,THP1_Monocyte,0.0,0.0,0.0,0.0,,,,,,
Naive_THP1mono_ZC112_R,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0.0,0.0,0.0,0.0,,,,,,
Naive_THP1mono_ZC113_R,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0.0,0.0,0.0,0.0,,,,,,
Naive_THP1mono_ZC37_R,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0.0,0.0,0.0,0.0,,,,,,
Naive_THP1mono_ZC60_R,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC60_R,Immune,THP1_Monocyte,0.0,0.0,0.0,0.0,,,,,,
Naive_THP1mono_ZC90_R,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC90_R,Immune,THP1_Monocyte,0.0,0.0,0.0,0.0,,,,,,
Naive_HEK293T_ZC65_R,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,,,,,Column,,,,,
Naive_HEK293T_ZC66_R,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,,,,,Column,,,,,
Naive_HEK293T_ZC71_R,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC71_R,Control_cell,HEK293T,,,,,Column,,,,,
Naive_HEK293T_ZC76_R,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC76_R,Control_cell,HEK293T,,,,,Column,,,,,
Naive_HEK293T_ZC81_R,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC81_R,Control_cell,HEK293T,,,,,Column,,,,,
IFNB_HMC3Col_ZC74_R,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1.0,0.0,0.0,0.0,,1.0,,,,
IFNB_HMC3_ZC22_R,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3_ZC22_R,Immune,HMC3_Microglia,1.0,0.0,0.0,0.0,,0.0,,,,
IFNB_HMC3_ZC4_R,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3_ZC4_R,Immune,HMC3_Microglia,1.0,0.0,0.0,0.0,,0.0,,,,
IFNB_HMC3_ZC69_R,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3_ZC69_R,Immune,HMC3_Microglia,1.0,0.0,0.0,0.0,,1.0,,,,
IFNB_HMC3_ZC79_R,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3_ZC79_R,Immune,HMC3_Microglia,1.0,0.0,0.0,0.0,,1.0,,,,
IFNG_HMC3Col_ZC73_R,HMC3_IFNG,Fugene6,,HMC3,IFNG_HMC3Col_ZC73_R,Immune,HMC3_Microglia,0.0,1.0,0.0,0.0,,1.0,,,,
IFNG_HMC3_ZC23_R,HMC3_IFNG,Fugene6,,HMC3,IFNG_HMC3_ZC23_R,Immune,HMC3_Microglia,0.0,1.0,0.0,0.0,,0.0,,,,
IFNG_HMC3_ZC5_R,HMC3_IFNG,Fugene6,,HMC3,IFNG_HMC3_ZC5_R,Immune,HMC3_Microglia,0.0,1.0,0.0,0.0,,0.0,,,,
IFNG_HMC3_ZC68_R,HMC3_IFNG,Fugene6,,HMC3,IFNG_HMC3_ZC68_R,Immune,HMC3_Microglia,0.0,1.0,0.0,0.0,,1.0,,,,
IFNG_HMC3_ZC78_R,HMC3_IFNG,Fugene6,,HMC3,IFNG_HMC3_ZC78_R,Immune,HMC3_Microglia,0.0,1.0,0.0,0.0,,1.0,,,,
LPSIFNG_HMC3Col_ZC75_R,HMC3_LPSIFNG,Fugene6,,HMC3,LPSIFNG_HMC3Col_ZC75_R,Immune,HMC3_Microglia,0.0,0.0,1.0,0.0,,1.0,,,,
LPSIFNG_HMC3_ZC24_R,HMC3_LPSIFNG,Fugene6,,HMC3,LPSIFNG_HMC3_ZC24_R,Immune,HMC3_Microglia,0.0,0.0,1.0,0.0,,0.0,,,,
LPSIFNG_HMC3_ZC70_R,HMC3_LPSIFNG,Fugene6,,HMC3,LPSIFNG_HMC3_ZC70_R,Immune,HMC3_Microglia,0.0,0.0,1.0,0.0,,1.0,,,,
LPSIFNG_HMC3_ZC80_R,HMC3_LPSIFNG,Fugene6,,HMC3,LPSIFNG_HMC3_ZC80_R,Immune,HMC3_Microglia,0.0,0.0,1.0,0.0,,1.0,,,,
Naive_HMC3Col_ZC72_R,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0.0,0.0,0.0,1.0,,1.0,,,,
Naive_HMC3_ZC2_R,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC2_R,Immune,HMC3_Microglia,0.0,0.0,0.0,1.0,,0.0,,,,
Naive_HMC3_ZC3_R,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC3_R,Immune,HMC3_Microglia,0.0,0.0,0.0,1.0,,0.0,,,,
Naive_HMC3_ZC67_R,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC67_R,Immune,HMC3_Microglia,0.0,0.0,0.0,1.0,,1.0,,,,
Naive_HMC3_ZC77_R,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC77_R,Immune,HMC3_Microglia,0.0,0.0,0.0,1.0,,1.0,,,,
ZC100.MPRA3.AP1134.26.Striatum,Striatum,AAV.PHP.EB,,AP1134,ZC100R.MPRA3.AP1134.26.Striatum,Brain,Brain,,,,,,,1.0,0.0,0.0,AP1134Striatum
ZC101.MPRA3.AP1134.26.Hippocampus,Hippocampus,AAV.PHP.EB,,AP1134,ZC101R.MPRA3.AP1134.26.Hippocampus,Brain,Brain,,,,,,,0.0,1.0,0.0,AP1134Hippocampus
ZC99.MPRA3.AP1134.26.Cortex,Cortex,AAV.PHP.EB,,AP1134,ZC99R.MPRA3.AP1134.26.Cortex,Brain,Brain,,,,,,,0.0,0.0,1.0,AP1134Cortex
ZC103.MPRA3.AP1120.26.Cortex,Cortex,AAV.PHP.EB,,AP1120,ZC103R.MPRA3.AP1120.26.Cortex,Brain,Brain,,,,,,,0.0,0.0,1.0,AP1120Cortex
ZC104.MPRA3.AP1120.26.Striatum,Striatum,AAV.PHP.EB,,AP1120,ZC104R.MPRA3.AP1120.26.Striatum,Brain,Brain,,,,,,,1.0,0.0,0.0,AP1120Striatum
ZC105.MPRA3.AP1120.26.Hippocampus,Hippocampus,AAV.PHP.EB,,AP1120,ZC105R.MPRA3.AP1120.26.Hippocampus,Brain,Brain,,,,,,,0.0,1.0,0.0,AP1120Hippocampus
ZC107.MPRA3.AP1121.26.Cortex,Cortex,AAV.PHP.EB,,AP1121,ZC107R.MPRA3.AP1121.26.Cortex,Brain,Brain,,,,,,,0.0,0.0,1.0,AP1121Cortex
ZC108.MPRA3.AP1121.26.Striatum,Striatum,AAV.PHP.EB,,AP1121,ZC108R.MPRA3.AP1121.26.Striatum,Brain,Brain,,,,,,,1.0,0.0,0.0,AP1121Striatum
ZC109.MPRA3.AP1121.26.Hippocampus,Hippocampus,AAV.PHP.EB,,AP1121,ZC109R.MPRA3.AP1121.26.Hippocampus,Brain,Brain,,,,,,,0.0,1.0,0.0,AP1121Hippocampus
ZC95.MPRA3.AP1133.26.Cortex,Cortex,AAV.PHP.EB,,AP1133,ZC95R.MPRA3.AP1133.26.Cortex,Brain,Brain,,,,,,,0.0,0.0,1.0,AP1133Cortex
ZC96.MPRA3.AP1133.26.Striatum,Striatum,AAV.PHP.EB,,AP1133,ZC96R.MPRA3.AP1133.26.Striatum,Brain,Brain,,,,,,,1.0,0.0,0.0,AP1133Striatum
ZC97.MPRA3.AP1133.26.Hippocampus,Hippocampus,AAV.PHP.EB,,AP1133,ZC97R.MPRA3.AP1133.26.Hippocampus,Brain,Brain,,,,,,,0.0,1.0,0.0,AP1133Hippocampus
